customer_id,address,postcode,state,country,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,AGE
61,44516 Katie Parkway,2765,NSW,Australia,7,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13,60
62,41 Schurz Center,2749,NSW,Australia,8,Sorcha,Roggers,Female,38,1979-07-06,Help Desk Operator,IT,Mass Customer,N,Yes,22,40
63,68150 Boyd Road,2745,NSW,Australia,9,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16,54
64,11474 Westend Hill,3752,VIC,Australia,8,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4,42
65,308 Jana Crossing,2153,NSW,Australia,10,Yale,Tanser,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15,44
66,163 Straubel Trail,2217,NSW,Australia,10,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1,18
67,68294 Clarendon Crossing,2230,NSW,Australia,10,Vernon,Gawne,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18,59
68,486 Mariners Cove Plaza,3046,VIC,Australia,7,Dahlia,Eddoes,Female,37,1974-04-21,Information Systems Manager,Retail,Affluent Customer,N,No,9,46
69,0322 Dryden Court,3183,VIC,Australia,7,Heidi,Milner,Female,16,1969-06-22,Web Developer II,Retail,Mass Customer,N,No,6,50
70,9 Bonner Road,2070,NSW,Australia,12,Foster,Vannoort,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8,27
71,07041 Briar Crest Lane,2213,NSW,Australia,10,Hoyt,Glavias,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12,35
72,29466 Hanson Pass,4208,QLD,Australia,6,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16,48
73,0212 Forest Run Trail,2774,NSW,Australia,8,Minette,Worters,Female,16,1960-05-27,Teacher,Manufacturing,Affluent Customer,N,Yes,5,59
74,33055 Menomonie Parkway,4133,QLD,Australia,8,Pansy,Kiddie,Female,94,1969-06-19,Teacher,Manufacturing,Mass Customer,N,Yes,6,50
75,4763 Merchant Avenue,2756,NSW,Australia,8,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19,41
76,439 Ridgeway Court,4213,QLD,Australia,9,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18,42
77,2 Clyde Gallagher Lane,4170,QLD,Australia,5,Shermie,Andrin,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,7,30
78,97455 Loeprich Lane,2153,NSW,Australia,9,Arch,Van der Kruis,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8,35
79,9527 Ridgeway Street,2073,NSW,Australia,10,Tybi,Silliman,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18,51
80,7 Jackson Point,3561,VIC,Australia,1,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13,42
81,74 Anniversary Junction,2330,NSW,Australia,6,Bee,Blazewicz,Female,58,1986-09-04,Data Coordiator,Health,High Net Worth,N,No,13,33
82,2083 Spaight Court,3977,VIC,Australia,8,Gleda,Cokely,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19,54
83,2796 Caliangt Circle,2204,NSW,Australia,12,Kerr,Simmell,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18,53
84,96061 Ludington Place,2086,NSW,Australia,11,Rich,Mathiasen,Male,78,1958-02-07,Accountant III,IT,Mass Customer,N,Yes,14,62
85,5037 Merchant Crossing,2226,NSW,Australia,11,Kane,Tixall,Male,1,1958-05-21,Analyst Programmer,IT,Mass Customer,N,No,8,61
86,289 Haas Street,2075,NSW,Australia,11,Job,Sleney,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7,31
87,4423 Bartelt Parkway,2038,NSW,Australia,12,Fields,Langdon,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8,46
88,5 Grim Center,2069,NSW,Australia,12,Malynda,Tumber,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7,54
89,73042 Roth Crossing,2100,NSW,Australia,11,Benedicto,Hoxey,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14,53
90,171 Fordem Junction,2233,NSW,Australia,10,Cary,Garron,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11,35
91,2640 Manley Point,2166,NSW,Australia,9,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17,65
92,3 Hintze Pass,3133,VIC,Australia,10,Jodee,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12,39
93,2 Mcbride Road,3070,VIC,Australia,10,Gordon,Gowar,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10,43
94,67234 Transport Hill,2777,NSW,Australia,7,Wallache,Simchenko,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21,45
95,72 Dorton Crossing,3133,VIC,Australia,10,Nomi,Mallinder,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8,59
96,6 Heffernan Center,2125,NSW,Australia,11,Heath,Olford,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15,51
97,6088 Roxbury Hill,2766,NSW,Australia,8,Arne,Corain,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10,40
98,105 Shelley Alley,2209,NSW,Australia,10,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7,64
99,079 Merry Park,2160,NSW,Australia,9,Reggie,Mulliner,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3,21
100,8722 Summit Alley,2065,NSW,Australia,12,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4,52
101,9554 Artisan Pass,2150,NSW,Australia,10,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11,44
102,55850 Butterfield Road,2168,NSW,Australia,9,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,63
103,68 Little Fleur Crossing,2046,NSW,Australia,12,Ethyl,Runham,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4,23
104,85688 New Castle Crossing,4171,QLD,Australia,10,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9,41
105,8611 Loomis Lane,2155,NSW,Australia,10,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,18
106,7909 Pierstorff Crossing,2517,NSW,Australia,9,Glyn,Pristnor,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18,53
107,01 Muir Parkway,2096,NSW,Australia,12,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9,29
108,0410 Division Junction,2750,NSW,Australia,8,Kayle,Mingaud,Female,4,1994-03-14,Nurse Practicioner,Financial Services,High Net Worth,N,No,3,26
109,41 Service Lane,2217,NSW,Australia,11,Cody,Blabey,Male,16,1978-12-11,Marketing Assistant,Financial Services,Affluent Customer,N,Yes,4,41
110,5 Moose Road,3977,VIC,Australia,8,Sascha,St. Quintin,Male,23,2000-07-31,Marketing Assistant,Financial Services,Affluent Customer,N,No,1,19
111,7342 Fieldstone Junction,2093,NSW,Australia,12,Cele,Evason,Female,65,1993-08-29,Analyst Programmer,Financial Services,Mass Customer,N,No,2,26
112,0 David Terrace,3204,VIC,Australia,11,Shena,Parren,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12,44
113,15239 Northwestern Point,4300,QLD,Australia,4,Gage,Nickless,Male,67,1956-05-06,Staff Scientist,Retail,Mass Customer,N,No,20,64
114,60 Oneill Street,2170,NSW,Australia,9,Sunny,Swindells,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8,34
115,8194 Sachtjen Drive,3844,VIC,Australia,1,Alberik,Mereweather,Male,77,1981-12-21,Account Executive,Health,Mass Customer,N,No,18,38
116,0349 Farmco Terrace,2168,NSW,Australia,8,Scottie,Swiffen,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,21
117,185 Pennsylvania Way,4226,QLD,Australia,6,Nance,Suttling,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15,38
118,432 Longview Circle,3192,VIC,Australia,10,Prentice,Pearmain,Male,43,1959-11-12,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,No,19,60
119,5814 Bunker Hill Street,3070,VIC,Australia,7,Willey,Chastanet,Male,9,1981-12-04,Associate Professor,Manufacturing,High Net Worth,N,Yes,9,38
120,7 Carberry Crossing,2485,NSW,Australia,2,Sloan,Wagg,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4,41
121,53 Talisman Trail,2097,NSW,Australia,9,Myles,Pauncefort,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15,62
122,5 Prairie Rose Road,4817,QLD,Australia,2,Colver,Itter,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12,41
123,84 Florence Parkway,2516,NSW,Australia,8,Almeta,Kalinsky,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15,31
124,739 Elmside Way,3074,VIC,Australia,8,Kath,Cunney,Female,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5,25
125,684 Northport Circle,2213,NSW,Australia,10,Darrelle,Antoniewski,Female,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16,60
126,8 Hagan Hill,4508,QLD,Australia,4,Norman,Cliff,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3,27
127,0 Pearson Crossing,4405,QLD,Australia,1,Merrili,Whitear,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19,45
128,10918 Merry Way,2452,NSW,Australia,5,Isidro,Cypler,Male,73,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12,42
129,97 Coolidge Trail,2142,NSW,Australia,9,Weidar,Silkstone,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19,34
130,58 Helena Hill,2205,NSW,Australia,7,Raddy,Delete,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,22
131,352 Forster Place,4132,QLD,Australia,3,Jana,Renyard,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8,55
132,12306 Lawn Street,2145,NSW,Australia,8,Celesta,Willavoys,Female,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9,56
133,19392 7th Trail,4744,QLD,Australia,1,Eldridge,Fiddeman,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16,42
134,1605 Northfield Junction,2158,NSW,Australia,11,Merna,McCulloch,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5,22
135,9674 Graceland Junction,3201,VIC,Australia,6,Rosalia,Sigart,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3,45
136,638 Thackeray Junction,4178,QLD,Australia,3,Mel,Bennet,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7,46
137,869 Forster Circle,2112,NSW,Australia,10,Vaughn,Artin,Male,27,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,10,32
138,0 Golden Leaf Crossing,2033,NSW,Australia,9,Onofredo,Franc,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13,35
139,215 Lindbergh Trail,4401,QLD,Australia,1,Gar,Franc,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4,55
140,829 Washington Crossing,3186,VIC,Australia,9,Morrie,Flaxon,Male,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2,25
141,585 Loomis Court,2097,NSW,Australia,11,Townsend,Trobe,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10,65
142,68063 Blue Bill Park Center,3058,VIC,Australia,9,Bentley,Fortesquieu,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17,52
143,15673 Farmco Point,4017,QLD,Australia,6,Kendall,Figg,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11,62
144,22 Oxford Junction,2315,NSW,Australia,3,Jory,Barrabeale,U,71,1957-09-01,Environmental Tech,IT,Mass Customer,N,No,11,62
145,7245 Cottonwood Center,2285,NSW,Australia,5,Filippo,Ferrara,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4,22
146,20382 Spohn Alley,2219,NSW,Australia,11,Ricoriki,Matlock,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8,35
147,12375 Cambridge Pass,2065,NSW,Australia,11,Rea,Pattrick,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10,46
148,03 Granby Parkway,3216,VIC,Australia,8,Jaquith,Maffey,Female,69,1981-05-08,Programmer Analyst III,Health,Mass Customer,N,Yes,5,39
149,939 Coleman Pass,4509,QLD,Australia,7,Drucy,Kausche,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1,25
150,69914 Bowman Place,2330,NSW,Australia,7,Bradly,Crosse,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17,36
151,34457 Springview Street,2759,NSW,Australia,9,Donnie,Brimson,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13,55
152,992 Old Shore Trail,2069,NSW,Australia,12,Stephana,Cardew,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16,39
153,453 Sheridan Street,2747,NSW,Australia,8,Lorilyn,Walshe,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12,42
154,8 Mccormick Crossing,2227,NSW,Australia,8,Faydra,Dulieu,Female,90,1958-02-13,Junior Executive,Entertainment,Mass Customer,N,No,11,62
155,63344 Holmberg Crossing,2025,NSW,Australia,10,Orran,Bogges,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10,34
156,9 Huxley Circle,3191,VIC,Australia,11,Shayla,Rimmington,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11,40
157,0 Hazelcrest Road,3025,VIC,Australia,8,Chad,Houtby,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16,45
158,2 Continental Plaza,2263,NSW,Australia,6,Hamlin,Odams,Male,99,1984-09-03,Internal Auditor,Financial Services,Affluent Customer,N,No,5,35
159,80 Duke Terrace,2233,NSW,Australia,10,Arin,Matskevich,Male,90,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,13,33
160,860 Hintze Lane,2154,NSW,Australia,11,Wake,Durning,Male,5,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,18,55
161,3723 Bunker Hill Circle,2065,NSW,Australia,10,Tadd,Bloss,Male,49,1976-01-21,Registered Nurse,Health,Mass Customer,N,No,16,44
162,5 Corry Court,2119,NSW,Australia,10,Port,Acuna,Male,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,15,40
163,65105 Sommers Pass,3016,VIC,Australia,10,Kessia,Helder,Female,58,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,14,43
164,2054 Sommers Pass,4113,QLD,Australia,4,Aarika,Van Vuuren,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1,20
165,22371 Miller Trail,2032,NSW,Australia,10,Aldon,Roelofs,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,36
166,35807 Oneill Way,4300,QLD,Australia,4,Elston,Oleszczak,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6,64
167,75612 Clarendon Junction,4352,QLD,Australia,6,Nathalie,Tideswell,Female,95,1969-10-27,Structural Analysis Engineer,Health,High Net Worth,N,Yes,17,50
168,16 Golf View Center,3020,VIC,Australia,6,Reggie,Broggetti,U,8,1969-10-27,General Manager,IT,Affluent Customer,N,Yes,11,50
169,93 Iowa Junction,2116,NSW,Australia,9,Alfy,Bruhnke,Male,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5,62
170,48 Cascade Terrace,3057,VIC,Australia,8,Jammal,Gever,Male,80,1975-06-02,Pharmacist,Health,High Net Worth,N,No,21,44
171,13950 Jackson Avenue,2099,NSW,Australia,11,Halli,Davidoff,Female,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10,49
172,35386 Mockingbird Road,3749,VIC,Australia,4,Hilton,Carney,Male,54,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6,31
173,2 Randy Point,2766,NSW,Australia,8,Ebba,Hanselmann,Female,99,1997-01-02,General Manager,Health,Affluent Customer,N,No,1,23
174,6898 Redwing Park,2148,NSW,Australia,9,Catie,Tosspell,Female,93,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12,30
175,52273 Bay Place,3145,VIC,Australia,11,Templeton,Hambrook,Male,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,5,44
176,272 Montana Avenue,2021,NSW,Australia,8,Angelo,Clayal,Male,39,1992-04-13,Accountant I,Property,Mass Customer,N,No,10,28
177,82520 Mifflin Drive,2333,NSW,Australia,5,Ondrea,Pablos,Female,25,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4,30
178,8 Dixon Parkway,2783,NSW,Australia,7,Matthieu,Bertelmot,Male,2,1967-04-03,Professor,Financial Services,Affluent Customer,N,No,8,53
179,4 Dayton Terrace,2280,NSW,Australia,9,Esteban,Sewill,Male,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6,54
180,216 Barnett Junction,4120,QLD,Australia,8,Trisha,Neasham,Female,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14,48
181,8256 Annamark Court,3638,VIC,Australia,1,Pavla,Braunle,Female,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,9,37
182,83012 Dapin Lane,4300,QLD,Australia,4,Lydon,Dahlman,Male,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7,27
